route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Mumbai-Pune,2024-11-18,3.00,-0.2% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-11-25,2.44,-0.8% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-11-25,2.39,-0.5% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-11-25,2.78,+1.1% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-11-25,2.95,-4.6% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-11-25,2.01,+0.6% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-11-25,2.48,-1.0% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-11-25,2.04,-0.2% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-11-25,3.02,+0.5% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-12-02,2.44,-0.8% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-12-02,2.38,-0.8% vs this route's past average,-3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-12-02,2.75,-0.2% vs this route's past average,-8.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-12-02,2.98,-3.8% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-12-02,1.99,-0.6% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-12-02,2.48,-0.9% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-12-02,2.06,+0.8% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-12-02,3.00,-0.2% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-12-09,2.42,-1.4% vs this route's past average,-1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-12-09,2.42,+0.9% vs this route's past average,-1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-12-09,2.75,-0.3% vs this route's past average,-8.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-12-09,2.97,-4.1% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-12-09,2.00,-0.1% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-12-09,2.50,-0.0% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-12-09,2.05,+0.2% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-12-09,3.03,+0.7% vs this route's past average,+5.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-12-16,2.46,+0.4% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-12-16,2.40,+0.2% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-12-16,2.75,-0.2% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-12-16,2.95,-4.9% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-12-16,2.01,+0.5% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-12-16,2.51,+0.4% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-12-16,2.05,+0.1% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-12-16,2.99,-0.6% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-12-23,2.45,-0.1% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-12-23,2.39,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-12-23,2.75,-0.3% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-12-23,2.93,-5.6% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-12-23,1.99,-0.6% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-12-23,2.50,+0.0% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-12-23,2.06,+0.5% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-12-23,3.01,+0.0% vs this route's past average,+6.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-12-30,2.44,-0.4% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-12-30,2.40,+0.2% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-12-30,2.75,-0.2% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-12-30,2.95,-4.9% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-12-30,2.00,-0.1% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-12-30,2.50,+0.1% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-12-30,2.05,-0.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-12-30,3.01,-0.0% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-01-06,2.44,-0.3% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-01-06,2.41,+0.5% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-01-06,2.75,-0.2% vs this route's past average,-6.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-01-06,2.91,-6.1% vs this route's past average,+1.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-01-06,1.99,-0.6% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-01-06,2.48,-0.8% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-01-06,2.06,+0.4% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-01-06,2.98,-1.0% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-01-13,2.46,+0.7% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-01-13,2.41,+0.4% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-01-13,2.75,-0.1% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-01-13,2.92,-0.9% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-01-13,2.00,+0.1% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-01-13,2.50,+0.3% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-01-13,2.05,-0.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-01-13,2.99,-0.5% vs this route's past average,+5.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-01-20,3.28,+34.2% vs this route's past average,+33.9% vs similar-length routes this week,No (justified),N002,Matches note N002 dated 2025-01-20: a regional festival week saw a temporary surcharge applied by transporters on the Ahmedabad-Mumbai corridor due to high demand and limited truck availability. The cost rise has a clear explanation.
Bangalore-Hyderabad,2025-01-20,2.40,+0.0% vs this route's past average,-17.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-01-20,2.75,-0.1% vs this route's past average,-8.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-01-20,2.98,+1.2% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-01-20,1.99,-0.4% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-01-20,2.50,+0.3% vs this route's past average,-12.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-01-20,2.04,-0.6% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-01-20,3.00,-0.1% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-01-27,2.45,-3.9% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-01-27,2.41,+0.4% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-01-27,2.75,+0.0% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-01-27,2.92,-1.0% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-01-27,2.01,+0.7% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-01-27,2.50,+0.2% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-01-27,2.05,-0.1% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-01-27,2.99,-0.4% vs this route's past average,+5.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-02-03,2.44,-4.3% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-02-03,2.40,-0.2% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-02-03,2.75,+0.0% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-02-03,2.96,+0.6% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-02-03,2.01,+0.6% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-02-03,2.49,-0.4% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-02-03,2.04,-0.5% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-02-03,3.01,+0.3% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-02-10,2.46,-3.6% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-02-10,2.42,+0.7% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-02-10,2.73,-0.7% vs this route's past average,-8.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-02-10,2.96,+0.7% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-02-10,2.00,+0.0% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-02-10,2.52,+0.9% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-02-10,2.05,+0.0% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-02-10,3.01,+0.4% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-02-17,2.46,-3.6% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-02-17,2.41,+0.2% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-02-17,2.77,+0.8% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-02-17,2.94,-0.0% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-02-17,1.99,-0.4% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-02-17,2.51,+0.5% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-02-17,2.04,-0.5% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-02-17,3.01,+0.3% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-02-24,2.48,-2.9% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-02-24,2.40,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-02-24,3.81,+38.5% vs this route's past average,+28.3% vs similar-length routes this week,No (justified),N001,"Matches note N001 dated 2025-02-24: heavy flooding on the Chennai-Bangalore highway disrupted normal truck movement from Feb 24 to Mar 8, forcing longer detours and higher trip costs. Roads were passable again by Mar 9. The cost rise has a clear explanation."
Delhi-Jaipur,2025-02-24,2.94,-0.1% vs this route's past average,-13.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-02-24,2.00,+0.1% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-02-24,2.49,-0.4% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-02-24,2.04,-0.4% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-02-24,3.00,+0.0% vs this route's past average,-11.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-03-03,2.46,-3.9% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-03-03,2.40,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-03-03,3.79,+31.5% vs this route's past average,+26.5% vs similar-length routes this week,No (justified),N001,"Matches note N001 dated 2025-02-24: heavy flooding on the Chennai-Bangalore highway disrupted normal truck movement from Feb 24 to Mar 8, forcing longer detours and higher trip costs. Roads were passable again by Mar 9. The cost rise has a clear explanation."
Delhi-Jaipur,2025-03-03,2.95,+0.3% vs this route's past average,-13.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-03-03,2.01,+0.6% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-03-03,2.51,+0.5% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-03-03,2.05,+0.2% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-03-03,3.04,+1.4% vs this route's past average,-9.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-03-10,2.44,-4.7% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-03-10,2.41,+0.2% vs this route's past average,-2.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-03-10,2.74,-9.0% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-03-10,2.95,+0.1% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-03-10,2.00,-0.1% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-03-10,2.49,-0.5% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-03-10,2.04,-0.2% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-03-10,3.00,-0.2% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-03-17,2.45,-4.3% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-03-17,2.40,-0.3% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-03-17,2.76,-8.3% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-03-17,2.96,+0.3% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-03-17,2.01,+0.4% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-03-17,2.50,-0.0% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-03-17,2.06,+0.8% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-03-17,2.99,-0.6% vs this route's past average,+4.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-03-24,2.46,+0.2% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-03-24,2.40,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-03-24,2.75,-8.7% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-03-24,2.95,+0.1% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-03-24,2.02,+0.8% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-03-24,2.51,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-03-24,2.07,+1.2% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-03-24,3.01,+0.1% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-03-31,2.47,+0.6% vs this route's past average,+1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-03-31,2.39,-0.6% vs this route's past average,-3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-03-31,2.77,-8.0% vs this route's past average,-7.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-03-31,2.96,+0.3% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-03-31,2.01,+0.2% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-03-31,2.50,-0.1% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-03-31,2.06,+0.5% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-03-31,3.00,-0.3% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-04-07,2.46,+0.0% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-04-07,2.42,+0.7% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-04-07,2.74,-9.1% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-04-07,2.94,-0.4% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-04-07,1.97,-1.7% vs this route's past average,-4.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-04-07,2.52,+0.6% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-04-07,2.06,+0.4% vs this route's past average,+4.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-04-07,2.99,-0.6% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-04-14,2.45,-0.4% vs this route's past average,-0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-04-14,2.40,-0.2% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-04-14,2.73,-9.5% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-04-14,2.94,-0.3% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-04-14,2.00,-0.1% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-04-14,2.53,+1.0% vs this route's past average,+4.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-04-14,2.04,-0.6% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-04-14,2.99,-0.5% vs this route's past average,+5.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-04-21,2.45,-0.4% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-04-21,2.40,-0.1% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-04-21,2.75,-8.7% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-04-21,2.95,+0.0% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-04-21,2.00,-0.1% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-04-21,2.49,-0.6% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-04-21,2.05,-0.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-04-21,3.01,+0.2% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-04-28,2.43,-1.0% vs this route's past average,-0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-04-28,2.39,-0.5% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-04-28,2.74,-4.8% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-04-28,2.96,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-04-28,2.00,-0.1% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-04-28,2.50,-0.2% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-04-28,2.04,-0.7% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-04-28,2.99,-0.5% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
